day,exchange,category,volume_usdc,fills
2025-03-10 00:00:00.000 UTC,negrisk,unknown,10398367.050049998,170117
2025-03-10 00:00:00.000 UTC,regular,unknown,8129388.044049993,42243
2025-03-11 00:00:00.000 UTC,negrisk,unknown,13104444.317111999,155261
2025-03-11 00:00:00.000 UTC,regular,unknown,9071703.582692,47882
2025-03-12 00:00:00.000 UTC,negrisk,unknown,14335960.241545001,154137
2025-03-12 00:00:00.000 UTC,regular,unknown,7492003.006438,44067
2025-03-13 00:00:00.000 UTC,negrisk,unknown,13045282.589374995,141468
2025-03-13 00:00:00.000 UTC,regular,unknown,8303704.829200001,47205
2025-03-14 00:00:00.000 UTC,negrisk,unknown,11254911.596882014,146143
2025-03-14 00:00:00.000 UTC,regular,unknown,7985860.360792998,48415
2025-03-15 00:00:00.000 UTC,negrisk,unknown,8936565.869238997,141058
2025-03-15 00:00:00.000 UTC,regular,unknown,7872750.434811003,40001
2025-03-16 00:00:00.000 UTC,negrisk,unknown,10843339.524750002,132625
2025-03-16 00:00:00.000 UTC,regular,unknown,8057322.232884003,36405
2025-03-17 00:00:00.000 UTC,negrisk,unknown,11106169.055192977,148942
2025-03-17 00:00:00.000 UTC,regular,unknown,6108400.569237005,43506
2025-03-18 00:00:00.000 UTC,negrisk,unknown,11937506.584960988,137880
2025-03-18 00:00:00.000 UTC,regular,unknown,9622082.575730007,45809
2025-03-19 00:00:00.000 UTC,negrisk,unknown,14877687.550350018,150046
2025-03-19 00:00:00.000 UTC,regular,unknown,8533792.646544999,52646
2025-03-20 00:00:00.000 UTC,negrisk,unknown,10498918.639147002,157100
2025-03-20 00:00:00.000 UTC,regular,unknown,9452786.497244993,57466
2025-03-21 00:00:00.000 UTC,negrisk,unknown,11888971.964065013,172203
2025-03-21 00:00:00.000 UTC,regular,unknown,8782353.973656002,51703
2025-03-22 00:00:00.000 UTC,negrisk,unknown,8620912.619358998,149043
2025-03-22 00:00:00.000 UTC,regular,unknown,7215556.2241210025,48982
2025-03-23 00:00:00.000 UTC,negrisk,unknown,9589687.520263003,148767
2025-03-23 00:00:00.000 UTC,regular,unknown,6853335.5967719965,40419
2025-03-24 00:00:00.000 UTC,negrisk,unknown,10430035.046370002,150565
2025-03-24 00:00:00.000 UTC,regular,unknown,5918692.5085299965,42396
2025-03-25 00:00:00.000 UTC,negrisk,unknown,7591817.727049996,141717
2025-03-25 00:00:00.000 UTC,regular,unknown,7128111.006555994,46893
2025-03-26 00:00:00.000 UTC,negrisk,unknown,8317935.0064539965,130848
2025-03-26 00:00:00.000 UTC,regular,unknown,6256023.679009003,45632
2025-03-27 00:00:00.000 UTC,negrisk,unknown,9529025.699092,134885
2025-03-27 00:00:00.000 UTC,regular,unknown,7819768.975991999,49388
2025-03-28 00:00:00.000 UTC,negrisk,unknown,10856160.455774,143846
2025-03-28 00:00:00.000 UTC,regular,unknown,11049737.858214991,71169
2025-03-29 00:00:00.000 UTC,negrisk,unknown,7757990.273046002,110147
2025-03-29 00:00:00.000 UTC,regular,unknown,8081819.476234,51324
2025-03-30 00:00:00.000 UTC,negrisk,unknown,7453898.785290001,97294
2025-03-30 00:00:00.000 UTC,regular,unknown,7549106.109331001,60043
2025-03-31 00:00:00.000 UTC,negrisk,unknown,8166362.673435991,103591
2025-03-31 00:00:00.000 UTC,regular,unknown,6400391.257015999,36207
2025-04-01 00:00:00.000 UTC,negrisk,unknown,9194041.591832008,128750
2025-04-01 00:00:00.000 UTC,regular,unknown,14332125.726458006,40255
